Variable.Name,sample_vardesc,sample_tablename,epcf,n,category,subcategory
PAQ724ac,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724ad,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724ae,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724af,Physical activity horseback riding,Physical Activity,e,2,physical activity,
PAQ724b,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724c,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724cm,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724d,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724e,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724f,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724g,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724h,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724i,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724j,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724k,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724l,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724m,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724n,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724o,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724p,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724q,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724r,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724s,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724t,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724u,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724v,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724w,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724x,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724y,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ724z,What physical activities did {you/SP} do during the past 7 days? {PROBE:  D,Physical Activity,e,2,physical activity,
PAQ731,"During the past 7 days, on how many days did {you/SP} play active video gam",Physical Activity,e,2,physical activity,
PAQ740,The next questions ask about activities during the school year. If {you are,Physical Activity,e,2,physical activity,
PAQ742,{Do you/Does SP} use school facilities for physical activity during school ,Physical Activity,e,2,physical activity,
PAQ744,{Do you/does SP} have PE or gym during school days?,Physical Activity,e,2,physical activity,
PAQ746,How often {do you/does SP} have PE or gym?,Physical Activity,e,2,physical activity,
PAQ748,"On average, how long is the PE or gym class?",Physical Activity,e,2,physical activity,
PAQ750,I am going to read a statement and I want you to let me know if you strongl,Physical Activity,e,2,physical activity,
PAQ755,"The following are activities that may be done before, during, or after scho",Physical Activity,e,2,physical activity,
PAQ759a,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759b,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759c,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759d,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759e,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759f,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759g,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759h,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759i,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759j,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759k,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759l,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759m,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759n,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759o,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759p,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759q,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759r,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759s,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759t,In what school sports or physical activity clubs {do you/does SP} participa,Physical Activity,e,2,physical activity,
PAQ759u,Participate in martial arts,Physical Activity,e,2,physical activity,
PAQ759v,Participate in walking,Physical Activity,e,1,physical activity,
PAQ762,{Do you/Does SP} have recess during school days?,Physical Activity,e,2,physical activity,
PAQ764,How often {do you/does SP} have recess?,Physical Activity,e,2,physical activity,
PAQ766,"On average, how long is the recess period?",Physical Activity,e,2,physical activity,
PAQ770,"In the past year, did {you/SP} receive a Physical Fitness Test award, such ",Physical Activity,e,2,physical activity,
PAQ772a,What Physical Fitness Test award did {you/SP} receive?,Physical Activity,e,2,physical activity,
PAQ772b,What Physical Fitness Test award did {you/SP} receive?,Physical Activity,e,2,physical activity,
PAQ772c,What Physical Fitness Test award did {you/SP} receive?,Physical Activity,e,2,physical activity,
PEASCCT1,Blood Pressure Comment,Blood Pressure,p,10,blood pressure,
PEASCST1,Blood Pressure Status,Blood Pressure,p,8,blood pressure,
PEASCTM1,Blood Pressure Time in Seconds,Blood Pressure,p,8,blood pressure,
PHAFSTHR,"Total length of 'food fast', hours",Plasma Fasting Glucose & Insulin,p,10,biochemistry,metabolic
PHAFSTMN,"Total length of 'food fast', minutes",Plasma Fasting Glucose & Insulin,p,10,biochemistry,metabolic
PHASE1,Phase I IFA Titer IgG,Coxiella Burnetii (Q Fever) Antibodies - Serum (Surplus),e,1,infection,
PHASE2,Phase II IFA Titer IgG,Coxiella Burnetii (Q Fever) Antibodies - Serum (Surplus),e,1,infection,
POOLID,Pool ID number,Brominated Flame Retardants (BFRs) - Pooled Samples (Surplus),e,2,pollutant,brominated
RB_FaPhyloDiv_10000_0,RB_FaPhyloDiv_10000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_10000_1,RB_FaPhyloDiv_10000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_10000_2,RB_FaPhyloDiv_10000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_10000_3,RB_FaPhyloDiv_10000_3,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_10000_4,RB_FaPhyloDiv_10000_4,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_10000_5,RB_FaPhyloDiv_10000_5,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_10000_6,RB_FaPhyloDiv_10000_6,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_10000_7,RB_FaPhyloDiv_10000_7,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_10000_8,RB_FaPhyloDiv_10000_8,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_10000_9,RB_FaPhyloDiv_10000_9,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_2000_0,RB_FaPhyloDiv_2000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_2000_1,RB_FaPhyloDiv_2000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_2000_2,RB_FaPhyloDiv_2000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_2000_3,RB_FaPhyloDiv_2000_3,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_2000_4,RB_FaPhyloDiv_2000_4,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_2000_5,RB_FaPhyloDiv_2000_5,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_2000_6,RB_FaPhyloDiv_2000_6,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_2000_7,RB_FaPhyloDiv_2000_7,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_2000_8,RB_FaPhyloDiv_2000_8,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_2000_9,RB_FaPhyloDiv_2000_9,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_4000_0,RB_FaPhyloDiv_4000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_4000_1,RB_FaPhyloDiv_4000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_4000_2,RB_FaPhyloDiv_4000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_4000_3,RB_FaPhyloDiv_4000_3,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_4000_4,RB_FaPhyloDiv_4000_4,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_4000_5,RB_FaPhyloDiv_4000_5,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_4000_6,RB_FaPhyloDiv_4000_6,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_4000_7,RB_FaPhyloDiv_4000_7,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_4000_8,RB_FaPhyloDiv_4000_8,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_4000_9,RB_FaPhyloDiv_4000_9,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_6000_0,RB_FaPhyloDiv_6000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_6000_1,RB_FaPhyloDiv_6000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_6000_2,RB_FaPhyloDiv_6000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_6000_3,RB_FaPhyloDiv_6000_3,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_6000_4,RB_FaPhyloDiv_6000_4,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_6000_5,RB_FaPhyloDiv_6000_5,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_6000_6,RB_FaPhyloDiv_6000_6,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_6000_7,RB_FaPhyloDiv_6000_7,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_6000_8,RB_FaPhyloDiv_6000_8,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_6000_9,RB_FaPhyloDiv_6000_9,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_8000_0,RB_FaPhyloDiv_8000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_8000_1,RB_FaPhyloDiv_8000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_8000_2,RB_FaPhyloDiv_8000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_8000_3,RB_FaPhyloDiv_8000_3,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_8000_4,RB_FaPhyloDiv_8000_4,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_8000_5,RB_FaPhyloDiv_8000_5,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_8000_6,RB_FaPhyloDiv_8000_6,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_8000_7,RB_FaPhyloDiv_8000_7,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_8000_8,RB_FaPhyloDiv_8000_8,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDiv_8000_9,RB_FaPhyloDiv_8000_9,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDivMean,RB_FaPhyloDivMean,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_FaPhyloDivSD,RB_FaPhyloDivSD,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_10000_0,RB_InverseSimpson_10000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_10000_1,RB_InverseSimpson_10000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_10000_2,RB_InverseSimpson_10000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_10000_3,RB_InverseSimpson_10000_3,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_10000_4,RB_InverseSimpson_10000_4,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_10000_5,RB_InverseSimpson_10000_5,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_10000_6,RB_InverseSimpson_10000_6,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_10000_7,RB_InverseSimpson_10000_7,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_10000_8,RB_InverseSimpson_10000_8,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_10000_9,RB_InverseSimpson_10000_9,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_2000_0,RB_InverseSimpson_2000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_2000_1,RB_InverseSimpson_2000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_2000_2,RB_InverseSimpson_2000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_2000_3,RB_InverseSimpson_2000_3,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_2000_4,RB_InverseSimpson_2000_4,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_2000_5,RB_InverseSimpson_2000_5,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_2000_6,RB_InverseSimpson_2000_6,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_2000_7,RB_InverseSimpson_2000_7,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_2000_8,RB_InverseSimpson_2000_8,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_2000_9,RB_InverseSimpson_2000_9,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_4000_0,RB_InverseSimpson_4000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_4000_1,RB_InverseSimpson_4000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_4000_2,RB_InverseSimpson_4000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_4000_3,RB_InverseSimpson_4000_3,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_4000_4,RB_InverseSimpson_4000_4,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_4000_5,RB_InverseSimpson_4000_5,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_4000_6,RB_InverseSimpson_4000_6,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_4000_7,RB_InverseSimpson_4000_7,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_4000_8,RB_InverseSimpson_4000_8,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_4000_9,RB_InverseSimpson_4000_9,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_6000_0,RB_InverseSimpson_6000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_6000_1,RB_InverseSimpson_6000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_6000_2,RB_InverseSimpson_6000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_6000_3,RB_InverseSimpson_6000_3,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_6000_4,RB_InverseSimpson_6000_4,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_6000_5,RB_InverseSimpson_6000_5,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_6000_6,RB_InverseSimpson_6000_6,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_6000_7,RB_InverseSimpson_6000_7,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_6000_8,RB_InverseSimpson_6000_8,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_6000_9,RB_InverseSimpson_6000_9,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_8000_0,RB_InverseSimpson_8000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_8000_1,RB_InverseSimpson_8000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_8000_2,RB_InverseSimpson_8000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_8000_3,RB_InverseSimpson_8000_3,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_8000_4,RB_InverseSimpson_8000_4,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_8000_5,RB_InverseSimpson_8000_5,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_8000_6,RB_InverseSimpson_8000_6,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_8000_7,RB_InverseSimpson_8000_7,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_8000_8,RB_InverseSimpson_8000_8,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpson_8000_9,RB_InverseSimpson_8000_9,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpsonMean,RB_InverseSimpsonMean,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_InverseSimpsonSD,RB_InverseSimpsonSD,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_10000_0,RB_ObservedOTUs_10000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_10000_1,RB_ObservedOTUs_10000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_10000_2,RB_ObservedOTUs_10000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_10000_3,RB_ObservedOTUs_10000_3,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_10000_4,RB_ObservedOTUs_10000_4,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_10000_5,RB_ObservedOTUs_10000_5,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_10000_6,RB_ObservedOTUs_10000_6,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_10000_7,RB_ObservedOTUs_10000_7,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_10000_8,RB_ObservedOTUs_10000_8,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_10000_9,RB_ObservedOTUs_10000_9,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_2000_0,RB_ObservedOTUs_2000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_2000_1,RB_ObservedOTUs_2000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_2000_2,RB_ObservedOTUs_2000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_2000_3,RB_ObservedOTUs_2000_3,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_2000_4,RB_ObservedOTUs_2000_4,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_2000_5,RB_ObservedOTUs_2000_5,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_2000_6,RB_ObservedOTUs_2000_6,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_2000_7,RB_ObservedOTUs_2000_7,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_2000_8,RB_ObservedOTUs_2000_8,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_2000_9,RB_ObservedOTUs_2000_9,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_4000_0,RB_ObservedOTUs_4000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_4000_1,RB_ObservedOTUs_4000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_4000_2,RB_ObservedOTUs_4000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_4000_3,RB_ObservedOTUs_4000_3,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_4000_4,RB_ObservedOTUs_4000_4,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_4000_5,RB_ObservedOTUs_4000_5,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_4000_6,RB_ObservedOTUs_4000_6,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_4000_7,RB_ObservedOTUs_4000_7,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_4000_8,RB_ObservedOTUs_4000_8,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_4000_9,RB_ObservedOTUs_4000_9,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_6000_0,RB_ObservedOTUs_6000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_6000_1,RB_ObservedOTUs_6000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_6000_2,RB_ObservedOTUs_6000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_6000_3,RB_ObservedOTUs_6000_3,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_6000_4,RB_ObservedOTUs_6000_4,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_6000_5,RB_ObservedOTUs_6000_5,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_6000_6,RB_ObservedOTUs_6000_6,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_6000_7,RB_ObservedOTUs_6000_7,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_6000_8,RB_ObservedOTUs_6000_8,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_6000_9,RB_ObservedOTUs_6000_9,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_8000_0,RB_ObservedOTUs_8000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_8000_1,RB_ObservedOTUs_8000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_8000_2,RB_ObservedOTUs_8000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_8000_3,RB_ObservedOTUs_8000_3,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_8000_4,RB_ObservedOTUs_8000_4,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_8000_5,RB_ObservedOTUs_8000_5,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_8000_6,RB_ObservedOTUs_8000_6,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_8000_7,RB_ObservedOTUs_8000_7,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_8000_8,RB_ObservedOTUs_8000_8,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUs_8000_9,RB_ObservedOTUs_8000_9,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUsMean,RB_ObservedOTUsMean,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ObservedOTUsSD,RB_ObservedOTUsSD,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ShanWienDiv_10000_0,RB_ShanWienDiv_10000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ShanWienDiv_10000_1,RB_ShanWienDiv_10000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ShanWienDiv_10000_2,RB_ShanWienDiv_10000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ShanWienDiv_10000_3,RB_ShanWienDiv_10000_3,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ShanWienDiv_10000_4,RB_ShanWienDiv_10000_4,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ShanWienDiv_10000_5,RB_ShanWienDiv_10000_5,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ShanWienDiv_10000_6,RB_ShanWienDiv_10000_6,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ShanWienDiv_10000_7,RB_ShanWienDiv_10000_7,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ShanWienDiv_10000_8,RB_ShanWienDiv_10000_8,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ShanWienDiv_10000_9,RB_ShanWienDiv_10000_9,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ShanWienDiv_2000_0,RB_ShanWienDiv_2000_0,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ShanWienDiv_2000_1,RB_ShanWienDiv_2000_1,Oral Microbiome Alpha Diversity,p,2,microbiome,
RB_ShanWienDiv_2000_2,RB_ShanWienDiv_2000_2,Oral Microbiome Alpha Diversity,p,2,microbiome,
